<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.18	23:00:00	1731.69	1733.68	1730.56	1730.83	440	0	27
2020.05.18	23:30:00	1731.02	1732.92	1729.85	1732.86	551	0	11
2020.05.19	00:00:00	1730.29	1735.54	1730.28	1734.31	1112	92200000	0
2020.05.19	00:30:00	1734.31	1735.85	1731.84	1733.47	603	0	11
2020.05.19	01:00:00	1733.98	1735.03	1732.01	1734.32	587	0	21
2020.05.19	01:30:00	1734.36	1735.81	1731.40	1733.59	856	0	19
2020.05.19	02:00:00	1733.65	1734.72	1732.80	1734.39	417	0	18
2020.05.19	02:30:00	1734.37	1734.95	1732.95	1734.55	718	0	18
2020.05.19	03:00:00	1734.63	1735.31	1733.38	1735.18	1012	0	23
2020.05.19	03:30:00	1735.07	1737.51	1734.45	1736.89	1160	0	19
2020.05.19	04:00:00	1736.84	1737.53	1734.60	1736.75	2579	0	18
2020.05.19	04:30:00	1736.80	1740.17	1736.80	1739.85	2029	0	18
2020.05.19	05:00:00	1739.81	1740.18	1738.97	1739.74	965	0	18
2020.05.19	05:30:00	1739.57	1740.26	1736.81	1737.33	1417	0	18
2020.05.19	06:00:00	1737.34	1738.38	1735.88	1736.31	1804	0	18
2020.05.19	06:30:00	1736.30	1737.18	1735.97	1737.09	987	0	19
2020.05.19	07:00:00	1737.13	1738.79	1737.13	1738.09	1043	0	18
2020.05.19	07:30:00	1738.29	1738.61	1735.36	1735.43	749	0	23
2020.05.19	08:00:00	1735.39	1736.94	1734.83	1735.50	1176	0	19
2020.05.19	08:30:00	1735.50	1738.10	1735.24	1736.74	1298	0	21
2020.05.19	09:00:00	1736.71	1737.25	1733.04	1733.21	2459	0	18
2020.05.19	09:30:00	1733.20	1733.36	1725.60	1728.94	4488	0	18
2020.05.19	10:00:00	1728.89	1732.01	1726.33	1730.84	6861	0	18
2020.05.19	10:30:00	1730.82	1733.65	1730.58	1731.57	7691	0	18
2020.05.19	11:00:00	1731.57	1734.90	1730.03	1734.19	6161	0	18
2020.05.19	11:30:00	1734.22	1737.62	1733.22	1736.48	9161	0	18
2020.05.19	12:00:00	1736.45	1738.77	1734.67	1735.78	4867	0	19
2020.05.19	12:30:00	1735.76	1736.46	1734.46	1735.29	4990	0	18
2020.05.19	13:00:00	1735.31	1736.15	1733.91	1735.00	3858	0	18
2020.05.19	13:30:00	1734.97	1735.98	1734.31	1734.81	2309	0	18
2020.05.19	14:00:00	1734.83	1735.34	1731.34	1732.39	3601	0	18
2020.05.19	14:30:00	1732.39	1736.08	1731.51	1736.08	2849	0	18
2020.05.19	15:00:00	1736.01	1736.18	1731.95	1733.71	5067	0	18
2020.05.19	15:30:00	1733.68	1735.49	1730.82	1735.30	6885	0	23
2020.05.19	16:00:00	1735.24	1740.19	1733.17	1739.32	7311	0	18
2020.05.19	16:30:00	1739.25	1741.19	1737.80	1738.37	7831	0	18
2020.05.19	17:00:00	1738.34	1744.12	1733.85	1743.44	6408	0	18
2020.05.19	17:30:00	1743.48	1745.68	1741.69	1743.77	6398	0	18
2020.05.19	18:00:00	1743.78	1743.78	1737.49	1740.63	5285	0	18
2020.05.19	18:30:00	1740.58	1740.96	1738.32	1740.77	4774	0	18
2020.05.19	19:00:00	1740.78	1741.82	1739.55	1740.95	3651	0	24
2020.05.19	19:30:00	1740.93	1742.48	1740.52	1742.16	2840	0	18
2020.05.19	20:00:00	1742.11	1742.64	1740.98	1742.34	3134	0	18
2020.05.19	20:30:00	1742.23	1743.44	1740.50	1742.86	2442	0	18
2020.05.19	21:00:00	1742.80	1746.01	1742.75	1745.70	1992	0	18
2020.05.19	21:30:00	1745.74	1745.98	1743.62	1745.45	2411	0	19
2020.05.19	22:00:00	1745.48	1748.03	1745.03	1746.36	2538	0	18
2020.05.19	22:30:00	1746.40	1747.31	1743.54	1746.23	2698	0	18
2020.05.19	23:00:00	1746.24	1746.92	1745.63	1746.19	582	0	19
2020.05.19	23:30:00	1746.09	1746.95	1744.16	1744.49	476	0	14
2020.05.20	00:00:00	1744.99	1746.18	1743.07	1744.56	770	73800000	0
2020.05.20	00:30:00	1744.57	1744.65	1743.34	1743.91	364	0	11
2020.05.20	01:00:00	1744.23	1746.45	1743.89	1744.51	859	0	21
2020.05.20	01:30:00	1744.44	1744.54	1743.20	1744.00	471	0	42
2020.05.20	02:00:00	1744.08	1745.35	1744.06	1745.23	375	0	18
2020.05.20	02:30:00	1745.25	1746.20	1744.73	1746.18	434	0	32
2020.05.20	03:00:00	1746.21	1746.21	1744.24	1744.83	781	0	21
2020.05.20	03:30:00	1744.80	1745.72	1744.02	1744.85	598	0	24
2020.05.20	04:00:00	1744.77	1749.72	1744.77	1748.77	2906	0	18
2020.05.20	04:30:00	1748.73	1750.96	1747.97	1749.76	1668	0	18
2020.05.20	05:00:00	1749.89	1750.60	1747.30	1748.55	1513	0	22
2020.05.20	05:30:00	1748.56	1748.74	1746.62	1748.32	1724	0	19
2020.05.20	06:00:00	1748.28	1749.52	1747.47	1748.30	1186	0	24
2020.05.20	06:30:00	1748.30	1749.93	1748.29	1749.19	1037	0	32
2020.05.20	07:00:00	1749.12	1749.39	1748.16	1748.30	557	0	34
2020.05.20	07:30:00	1748.33	1748.67	1746.37	1747.00	903	0	18
2020.05.20	08:00:00	1746.99	1747.49	1746.49	1746.92	816	0	18
2020.05.20	08:30:00	1746.86	1749.25	1746.61	1748.09	1292	0	18
2020.05.20	09:00:00	1748.14	1748.73	1745.97	1746.91	1882	0	19
2020.05.20	09:30:00	1746.77	1750.67	1746.32	1749.55	1769	0	18
2020.05.20	10:00:00	1749.53	1753.10	1747.73	1751.47	3735	0	18
2020.05.20	10:30:00	1751.54	1752.11	1748.13	1749.29	3043	0	18
2020.05.20	11:00:00	1749.27	1750.10	1747.67	1748.12	2067	0	18
2020.05.20	11:30:00	1748.13	1750.02	1748.04	1748.53	1709	0	18
2020.05.20	12:00:00	1748.52	1750.30	1746.57	1749.57	3634	0	18
2020.05.20	12:30:00	1749.57	1750.39	1748.11	1749.14	2126	0	18
2020.05.20	13:00:00	1749.11	1751.54	1748.16	1750.95	2604	0	20
2020.05.20	13:30:00	1750.97	1752.04	1748.34	1750.47	4121	0	18
2020.05.20	14:00:00	1750.47	1751.55	1747.50	1748.66	4178	0	18
2020.05.20	14:30:00	1748.68	1751.47	1748.48	1751.28	2770	0	18
2020.05.20	15:00:00	1751.30	1753.46	1749.01	1750.30	3552	0	18
2020.05.20	15:30:00	1750.32	1750.82	1742.30	1747.41	5602	0	18
2020.05.20	16:00:00	1747.31	1749.76	1745.81	1748.66	5847	0	18
2020.05.20	16:30:00	1748.68	1752.18	1745.39	1749.82	6609	0	18
2020.05.20	17:00:00	1749.78	1751.54	1746.49	1747.63	5847	0	18
2020.05.20	17:30:00	1747.67	1747.83	1742.79	1747.19	6046	0	18
2020.05.20	18:00:00	1747.22	1750.78	1744.20	1750.27	5415	0	18
