<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.20	22:45:00	2023.89	2024.32	2023.54	2024.22	185	0	25
2024.02.21	01:30:00	2023.77	2024.98	2023.76	2024.62	207	0	25
2024.02.21	01:45:00	2024.63	2024.75	2024.08	2024.21	347	0	25
2024.02.21	02:00:00	2024.21	2024.26	2022.90	2023.04	597	0	25
2024.02.21	02:15:00	2023.05	2023.72	2022.88	2023.62	332	0	25
2024.02.21	02:30:00	2023.62	2023.89	2023.41	2023.72	374	0	25
2024.02.21	02:45:00	2023.70	2023.83	2023.35	2023.46	364	0	25
2024.02.21	03:00:00	2023.50	2024.45	2023.24	2024.13	1039	0	25
2024.02.21	03:15:00	2024.13	2025.54	2024.00	2025.34	953	0	25
2024.02.21	03:30:00	2025.32	2025.92	2024.93	2025.92	1161	0	25
2024.02.21	03:45:00	2025.92	2026.05	2025.25	2025.32	936	0	25
2024.02.21	04:00:00	2025.32	2027.19	2025.28	2026.77	832	0	25
2024.02.21	04:15:00	2026.73	2027.76	2026.59	2027.56	521	0	25
2024.02.21	04:30:00	2027.56	2028.52	2027.38	2028.51	670	0	25
2024.02.21	04:45:00	2028.51	2029.11	2027.11	2027.85	1347	0	25
2024.02.21	05:00:00	2027.85	2028.97	2027.73	2028.95	760	0	25
2024.02.21	05:15:00	2028.95	2030.01	2028.87	2029.84	568	0	25
2024.02.21	05:30:00	2029.84	2030.24	2029.36	2030.14	464	0	25
2024.02.21	05:45:00	2030.15	2030.83	2029.85	2030.48	461	0	25
2024.02.21	06:00:00	2030.47	2031.10	2030.23	2030.68	814	0	25
2024.02.21	06:15:00	2030.72	2031.22	2030.72	2030.92	382	0	25
2024.02.21	06:30:00	2030.89	2031.07	2030.04	2030.22	259	0	25
2024.02.21	06:45:00	2030.21	2030.99	2030.13	2030.80	332	0	25
2024.02.21	07:00:00	2030.84	2031.42	2030.06	2030.07	425	0	25
2024.02.21	07:15:00	2030.07	2030.55	2029.36	2030.27	564	0	25
2024.02.21	07:30:00	2030.28	2031.71	2030.18	2031.57	646	0	25
2024.02.21	07:45:00	2031.57	2032.18	2030.81	2030.92	891	0	25
2024.02.21	08:00:00	2030.92	2031.16	2029.41	2029.47	744	0	25
2024.02.21	08:15:00	2029.48	2030.49	2029.44	2030.38	706	0	25
2024.02.21	08:30:00	2030.45	2030.47	2029.61	2029.61	452	0	25
2024.02.21	08:45:00	2029.55	2030.16	2029.15	2029.92	603	0	25
2024.02.21	09:00:00	2029.92	2030.57	2029.53	2030.48	641	0	25
2024.02.21	09:15:00	2030.48	2030.48	2028.64	2028.65	611	0	25
2024.02.21	09:30:00	2028.67	2029.12	2028.34	2028.81	1277	0	25
2024.02.21	09:45:00	2028.81	2029.35	2028.66	2028.80	1098	0	25
2024.02.21	10:00:00	2028.82	2029.19	2027.95	2028.84	1511	0	25
2024.02.21	10:15:00	2028.84	2028.95	2027.57	2027.70	1293	0	25
2024.02.21	10:30:00	2027.70	2027.92	2026.18	2026.79	1244	0	25
2024.02.21	10:45:00	2026.78	2027.26	2026.15	2026.50	1110	0	25
2024.02.21	11:00:00	2026.46	2027.24	2025.89	2026.31	1296	0	25
2024.02.21	11:15:00	2026.28	2027.96	2025.96	2027.78	1292	0	25
2024.02.21	11:30:00	2027.79	2028.47	2027.05	2028.19	1200	0	25
2024.02.21	11:45:00	2028.18	2028.55	2027.70	2028.02	1390	0	25
2024.02.21	12:00:00	2028.03	2028.37	2027.81	2028.36	981	0	25
2024.02.21	12:15:00	2028.30	2028.81	2028.16	2028.44	903	0	25
2024.02.21	12:30:00	2028.44	2029.76	2028.28	2028.85	1227	0	25
2024.02.21	12:45:00	2028.85	2030.11	2028.82	2029.92	1034	0	25
2024.02.21	13:00:00	2029.91	2030.00	2027.80	2027.89	699	0	25
2024.02.21	13:15:00	2027.89	2028.22	2027.32	2027.63	1412	0	25
2024.02.21	13:30:00	2027.60	2028.42	2027.32	2027.40	1111	0	25
2024.02.21	13:45:00	2027.44	2028.23	2027.38	2028.20	903	0	25
2024.02.21	14:00:00	2028.20	2029.64	2027.90	2029.60	1133	0	25
2024.02.21	14:15:00	2029.60	2030.02	2028.47	2028.96	1103	0	25
2024.02.21	14:30:00	2028.96	2029.27	2028.20	2029.06	1082	0	25
2024.02.21	14:45:00	2029.07	2029.66	2028.77	2029.37	1151	0	25
2024.02.21	15:00:00	2029.38	2031.19	2029.04	2030.90	2696	0	25
2024.02.21	15:15:00	2030.87	2031.47	2027.54	2028.68	2848	0	25
2024.02.21	15:30:00	2028.78	2030.91	2028.53	2030.14	2268	0	25
2024.02.21	15:45:00	2030.14	2030.33	2027.94	2028.67	1974	0	25
2024.02.21	16:00:00	2028.66	2030.26	2028.56	2029.36	2255	0	25
2024.02.21	16:15:00	2029.37	2029.73	2028.36	2028.64	2323	0	25
2024.02.21	16:30:00	2028.63	2029.62	2026.98	2028.73	3787	0	25
2024.02.21	16:45:00	2028.73	2029.93	2027.24	2027.47	2554	0	25
2024.02.21	17:00:00	2027.42	2029.53	2026.62	2029.53	2122	0	25
2024.02.21	17:15:00	2029.54	2030.18	2028.50	2029.18	2243	0	25
2024.02.21	17:30:00	2029.19	2029.24	2027.59	2027.94	2105	0	25
2024.02.21	17:45:00	2027.95	2028.02	2024.03	2024.09	3101	0	25
2024.02.21	18:00:00	2024.08	2024.91	2023.18	2024.45	3265	0	25
2024.02.21	18:15:00	2024.45	2025.73	2023.40	2024.46	2030	0	25
2024.02.21	18:30:00	2024.46	2025.09	2023.95	2025.02	2006	0	25
2024.02.21	18:45:00	2025.02	2025.79	2023.54	2023.90	1656	0	25
2024.02.21	19:00:00	2023.90	2024.02	2022.33	2022.62	2400	0	25
2024.02.21	19:15:00	2022.62	2023.22	2021.45	2022.79	1723	0	25
2024.02.21	19:30:00	2022.80	2023.01	2021.97	2022.65	1521	0	25
